N,Average Comparisons,Average Substitutions,Average Height,Max Comparisons,Max Substitutions,Max Height
10000,24283,40013,31,29829,40021,36
20000,51196,80013,34,59787,80031,43
30000,76164,120015,35,87144,120026,38
40000,99372,160015,36,119773,160037,40
50000,124961,200017,37,149206,200026,42
60000,145458,240015,38,178366,240038,42
70000,167765,280015,39,198839,280029,44
80000,200335,320014,39,238776,320021,43
90000,213427,360017,39,260710,360028,42
100000,255669,400020,40,289476,400039,45
