1000	3769	4046
1000	3703	4373
2000	8359	8192
3000	13284	12872
4000	16689	17261
5000	23055	23582
6000	29367	29052
7000	36661	37118
8000	41293	41195
9000	45378	48157
10000	56133	59396
11000	54909	59057
12000	65584	67251
13000	69002	70179
14000	78579	82608
15000	79928	82088
16000	104403	109660
17000	96873	98371
