1000	8650	1366
1000	8574	1419
2000	19238	2710
3000	30405	4549
4000	42448	5451
5000	54634	7293
6000	66796	8951
7000	79556	10006
8000	92811	11046
9000	105965	12788
10000	118990	14571
11000	132325	16431
12000	145632	17887
13000	159253	19213
14000	173414	20271
15000	187386	21171
16000	201711	21733
17000	215715	23574
