100	 1500	802
100	 1060	595
100	 1037	541
100	 1286	760
100	 1610	942
100	 1008	579
100	 1032	558
100	 1298	728
100	 1633	893
100	 1518	830
100	 1109	656
100	 1556	850
100	 1577	780
100	 1264	690
100	 1360	824
100	 1103	621
100	 1579	888
100	 930	582
100	 1680	922
100	 1178	642
100	 1624	925
100	 948	556
100	 1365	749
100	 1050	587
100	 1480	819
100	 999	580
100	 1539	863
100	 1005	577
100	 914	552
100	 1028	604
100	 1716	948
100	 1565	824
100	 1726	931
100	 1079	593
100	 1139	623
100	 1295	768
100	 713	450
100	 1105	612
100	 1955	1102
100	 1016	549
100	 1053	574
100	 1047	603
100	 1012	533
100	 1540	846
100	 1625	925
100	 1370	836
100	 1085	615
100	 1243	672
100	 1510	839
100	 1113	619
200	 2674	1412
200	 3147	1728
200	 2393	1414
200	 3012	1811
200	 3965	2299
200	 3295	1843
200	 3142	1879
200	 3561	1991
200	 3033	1782
200	 3169	1827
200	 3392	1978
200	 3889	2156
200	 2760	1655
200	 2146	1299
200	 2515	1438
200	 2156	1352
200	 2412	1366
200	 2982	1793
200	 3837	2269
200	 2371	1397
200	 3376	2063
200	 3460	2029
200	 3454	1965
200	 2196	1303
200	 2901	1702
200	 2949	1612
200	 3433	1890
200	 3748	2166
200	 3300	1817
200	 2262	1393
200	 2989	1846
200	 2187	1313
200	 3053	1847
200	 2895	1689
200	 3131	1787
200	 3914	2076
200	 3916	2270
200	 2392	1390
200	 1977	1039
200	 3385	1962
200	 4115	2256
200	 3312	1998
200	 2789	1661
200	 3257	2049
200	 2309	1433
200	 3441	1992
200	 2085	1260
200	 3598	2158
200	 3770	2238
200	 2416	1434
300	 3566	2213
300	 5102	3039
300	 6304	3762
300	 6333	3813
300	 5971	3513
300	 4960	2935
300	 5918	3352
300	 5636	3327
300	 4265	2424
300	 2313	1453
300	 3213	2019
300	 3622	2229
300	 3735	2304
300	 6201	3604
300	 4287	2668
300	 4862	2817
300	 5326	3189
300	 5863	3354
300	 4793	2858
300	 4406	2591
300	 3845	2142
300	 3229	2077
300	 5977	3438
300	 3952	2394
300	 6372	3838
300	 6111	3613
300	 4798	2894
300	 5925	3476
300	 6176	3672
300	 6502	3896
300	 5777	3474
300	 5585	3268
300	 4251	2509
300	 4989	2949
300	 4512	2705
300	 6062	3390
300	 6271	3654
300	 3419	2115
300	 5506	3178
300	 6518	3845
300	 6484	3886
300	 5101	3052
300	 6645	3800
300	 3271	1958
300	 3325	2030
300	 5740	3377
300	 3393	2081
300	 6045	3630
